Soil Type,Sunlight (hours/day),Water Supply (liters/week),Temperature (Â°C),pH Level,Plant Species,Thrives
Sandy,8,20,22,6.6,Fern,Yes
Loamy,9,16,27,6.1,Fern,No
Loamy,7,9,15,5.7,Rose,No
Loamy,10,9,28,6,Oak,Yes
Sandy,12,27,19,7.8,Oak,No
Loamy,10,13,29,7.1,Lily,No
Sandy,4,13,17,6.8,Rose,Yes
Loamy,4,7,26,7.1,Fern,No
Clay,12,23,15,6.6,Oak,Yes
Clay,12,20,18,7.3,Rose,No
Sandy,7,20,29,5.6,Oak,Yes
Clay,12,7,27,6.9,Oak,Yes
Clay,6,24,19,5.9,Fern,Yes
Loamy,10,28,30,5.8,Cactus,No
Sandy,9,26,21,6.4,Lily,Yes
Loamy,11,28,15,5.7,Lily,No
Loamy,12,5,30,5.7,Fern,No
Loamy,8,28,17,6.3,Oak,No
Loamy,4,24,30,7.9,Rose,No
Loamy,6,15,16,5.9,Oak,Yes
Loamy,11,21,23,5.5,Fern,Yes
Loamy,9,12,24,7.4,Lily,No
Sandy,11,8,29,7.5,Oak,No
Clay,12,10,20,6.4,Lily,Yes
Loamy,7,12,24,6.7,Rose,No
Loamy,4,24,17,7.1,Lily,Yes
Loamy,4,7,22,5.6,Lily,No
Loamy,7,20,28,7.9,Cactus,No
Loamy,10,29,22,7.7,Cactus,Yes
Loamy,5,7,16,6.2,Cactus,No
Clay,6,29,30,5.5,Lily,Yes
Clay,4,22,29,7.8,Fern,No
Loamy,8,18,20,6.8,Lily,No
Clay,4,22,21,6.8,Fern,No
Sandy,11,6,16,7.2,Fern,Yes
Loamy,4,26,29,7,Cactus,No
Sandy,4,7,25,7.9,Oak,No
Sandy,5,20,24,7.9,Rose,No
Loamy,5,13,16,7.7,Cactus,No
Clay,9,8,24,7.1,Cactus,Yes
Sandy,10,5,15,7.5,Oak,Yes
Loamy,8,8,22,7.2,Rose,No
Sandy,4,5,15,6.9,Lily,Yes
Sandy,4,18,23,5.8,Lily,No
Sandy,6,25,25,7.5,Cactus,No
Sandy,5,20,20,7.6,Rose,No
Clay,8,24,30,7.1,Cactus,Yes
Sandy,9,28,21,7.6,Fern,Yes
Sandy,10,12,27,7.1,Cactus,Yes
Sandy,7,11,24,6,Cactus,Yes
Clay,10,7,21,6.2,Lily,Yes
Sandy,11,21,24,6,Lily,Yes
Sandy,4,5,17,6.4,Lily,Yes
Clay,8,12,17,6,Fern,No
Loamy,4,7,22,5.6,Lily,No
Loamy,10,28,30,5.8,Cactus,No
Loamy,4,26,29,7,Cactus,No
Clay,10,20,27,7.4,Rose,No
Loamy,11,28,15,5.7,Lily,No
Loamy,8,18,20,6.8,Lily,No
Loamy,11,30,19,7.7,Fern,No
Sandy,6,24,17,6.6,Rose,No
Sandy,4,7,25,7.9,Oak,No
Loamy,11,28,15,5.7,Lily,No
Loamy,7,9,15,5.7,Rose,No
Loamy,4,7,22,5.6,Lily,No
Loamy,4,7,26,7.1,Fern,No
Sandy,11,6,20,7.1,Rose,No
Clay,10,29,20,5.7,Rose,No
Sandy,9,21,26,7.2,Oak,No
Clay,7,20,19,6,Rose,No
Clay,5,6,23,5.6,Rose,No
Clay,4,22,21,6.8,Fern,No
Loamy,9,11,29,6.8,Lily,No
Clay,10,20,27,7.4,Rose,No
Sandy,8,12,26,7.9,Cactus,No
Sandy,4,7,25,7.9,Oak,No
Loamy,8,7,28,6.1,Lily,No
Loamy,10,23,16,7.6,Lily,No
Loamy,8,8,22,7.2,Rose,No
Loamy,9,16,27,6.1,Fern,No
Loamy,10,23,16,7.6,Lily,No
Clay,12,20,18,7.3,Rose,No
Clay,8,12,17,6,Fern,No
Clay,10,15,17,7.2,Fern,No
Sandy,6,25,25,7.5,Cactus,No
Loamy,7,20,28,7.9,Cactus,No
Loamy,8,7,28,6.1,Lily,No
Sandy,5,20,20,7.6,Rose,No
Loamy,9,16,27,6.1,Fern,No
Clay,10,20,27,7.4,Rose,No
Loamy,11,28,15,5.7,Lily,No
Clay,8,20,28,5.6,Cactus,No
Loamy,10,5,18,6.5,Rose,No
Loamy,8,28,17,6.3,Oak,No
Sandy,6,24,17,6.6,Rose,No
Clay,8,20,28,5.6,Cactus,No
Clay,4,22,21,6.8,Fern,No
Sandy,5,20,20,7.6,Rose,No
Sandy,5,20,24,7.9,Rose,No
Loamy,9,16,27,6.1,Fern,No
Sandy,6,24,17,6.6,Rose,No
Sandy,5,20,20,7.6,Rose,No
Clay,12,20,18,7.3,Rose,No
Loamy,5,13,16,7.7,Cactus,No
Clay,5,6,23,5.6,Rose,No
Clay,10,20,27,7.4,Rose,No
Loamy,5,7,16,6.2,Cactus,No
Loamy,5,13,16,7.7,Cactus,No
Sandy,5,20,24,7.9,Rose,No
Clay,8,12,17,6,Fern,No
Loamy,12,5,30,5.7,Fern,No
Loamy,4,7,26,7.1,Fern,No
Loamy,12,5,30,5.7,Fern,No
Sandy,10,30,28,6.1,Fern,No
Sandy,5,20,24,7.9,Rose,No
Loamy,5,13,16,7.7,Cactus,No
Sandy,9,21,26,7.2,Oak,No
Loamy,8,18,20,6.8,Lily,No
Loamy,11,28,15,5.7,Lily,No
Clay,10,20,27,7.4,Rose,No
Clay,10,20,20,7.7,Cactus,No
Clay,8,20,28,5.6,Cactus,No
Sandy,12,27,19,7.8,Oak,No
Loamy,7,12,24,6.7,Rose,No
Clay,4,22,29,7.8,Fern,No
Loamy,10,5,18,6.5,Rose,No
Sandy,6,25,25,7.5,Cactus,No
Loamy,8,28,17,6.3,Oak,No
Sandy,12,10,17,6.6,Rose,No
Loamy,10,23,16,7.6,Lily,No
Loamy,10,23,16,7.6,Lily,No
Clay,12,20,18,7.3,Rose,No
Clay,10,29,20,5.7,Rose,No
Sandy,5,20,24,7.9,Rose,No
Clay,7,20,19,6,Rose,No
Loamy,10,23,16,7.6,Lily,No
Clay,6,11,27,6.6,Lily,No
Loamy,6,24,30,6.3,Lily,No
Clay,8,20,28,5.6,Cactus,No
Loamy,5,13,16,7.7,Cactus,No
Loamy,4,24,30,7.9,Rose,No
Loamy,12,5,30,5.7,Fern,No
Loamy,8,28,17,6.3,Oak,No
Sandy,6,25,25,7.5,Cactus,No
Loamy,7,9,15,5.7,Rose,No
Clay,6,11,27,6.6,Lily,No
Sandy,5,20,20,7.6,Rose,No
Loamy,10,23,16,7.6,Lily,No
Clay,10,20,20,7.7,Cactus,No
Clay,4,22,21,6.8,Fern,No
Clay,8,20,28,5.6,Cactus,No
Loamy,10,23,16,7.6,Lily,No
Loamy,8,8,22,7.2,Rose,No
Sandy,12,27,19,7.8,Oak,No
Loamy,8,7,28,6.1,Lily,No
Clay,8,20,28,5.6,Cactus,No
Sandy,12,10,17,6.6,Rose,No
Loamy,9,11,29,6.8,Lily,No
Clay,10,20,20,7.7,Cactus,No
Loamy,10,13,29,7.1,Lily,No
Sandy,12,27,19,7.8,Oak,No
Sandy,4,7,25,7.9,Oak,No
Sandy,6,25,25,7.5,Cactus,No
Loamy,4,7,26,7.1,Fern,No
Clay,5,6,23,5.6,Rose,No
Loamy,9,16,27,6.1,Fern,No
Loamy,10,13,29,7.1,Lily,No
Clay,5,6,23,5.6,Rose,No
Clay,12,20,18,7.3,Rose,No
Sandy,8,12,26,7.9,Cactus,No
Clay,7,20,19,6,Rose,No
Clay,8,12,17,6,Fern,No
Clay,4,22,21,6.8,Fern,No
Clay,4,22,21,6.8,Fern,No
Loamy,4,7,26,7.1,Fern,No
Clay,10,29,20,5.7,Rose,No
Clay,8,20,28,5.6,Cactus,No
Sandy,6,24,17,6.6,Rose,No
Sandy,11,8,29,7.5,Oak,No
Loamy,9,16,27,6.1,Fern,No
Sandy,6,25,25,7.5,Cactus,No
Clay,10,29,20,5.7,Rose,No
Sandy,6,25,25,7.5,Cactus,No
Loamy,11,30,19,7.7,Fern,No
Clay,8,12,17,6,Fern,No
Sandy,4,18,23,5.8,Lily,No
Loamy,10,23,16,7.6,Lily,No
Loamy,8,7,28,6.1,Lily,No
Sandy,12,27,19,7.8,Oak,No
Clay,10,15,17,7.2,Fern,No
Clay,7,20,19,6,Rose,No
Clay,10,15,17,7.2,Fern,No
Loamy,4,7,22,5.6,Lily,No
Clay,12,20,18,7.3,Rose,No
Loamy,4,24,30,7.9,Rose,No
Sandy,5,20,24,7.9,Rose,No
Clay,5,6,23,5.6,Rose,No
Sandy,6,25,25,7.5,Cactus,No
Loamy,4,26,29,7,Cactus,No
Loamy,4,7,26,7.1,Fern,No
Clay,6,11,27,6.6,Lily,No
Sandy,6,24,17,6.6,Rose,No
Clay,10,20,20,7.7,Cactus,No
Loamy,4,7,22,5.6,Lily,No
Sandy,10,30,28,6.1,Fern,No
Loamy,10,28,30,5.8,Cactus,No
Sandy,12,10,17,6.6,Rose,No
Sandy,4,18,23,5.8,Lily,No
Sandy,12,27,19,7.8,Oak,No
Loamy,8,7,28,6.1,Lily,No
Clay,7,20,19,6,Rose,No
Clay,10,13,27,6.9,Fern,No
Loamy,4,7,22,5.6,Lily,No
Clay,6,11,27,6.6,Lily,No
Sandy,4,7,25,7.9,Oak,No
Clay,8,12,17,6,Fern,No
Clay,10,20,27,7.4,Rose,No
Clay,5,6,23,5.6,Rose,No
Sandy,11,8,29,7.5,Oak,No
Loamy,7,12,24,6.7,Rose,No
Clay,10,20,27,7.4,Rose,No
Loamy,10,28,30,5.8,Cactus,No
Clay,8,12,17,6,Fern,No
Loamy,4,7,26,7.1,Fern,No
Sandy,12,27,19,7.8,Oak,No
Loamy,4,24,30,7.9,Rose,No
Sandy,6,24,17,6.6,Rose,No
Sandy,5,20,24,7.9,Rose,No
Sandy,11,6,20,7.1,Rose,No
Sandy,6,10,21,6,Cactus,No
Sandy,12,27,19,7.8,Oak,No
Sandy,5,20,24,7.9,Rose,No
Clay,4,22,21,6.8,Fern,No
Loamy,9,12,24,7.4,Lily,No
Loamy,10,28,30,5.8,Cactus,No
Sandy,12,10,17,6.6,Rose,No
Loamy,5,13,16,7.7,Cactus,No
Loamy,8,8,22,7.2,Rose,No
Loamy,11,28,15,5.7,Lily,No
Sandy,12,10,17,6.6,Rose,No
Sandy,8,12,26,7.9,Cactus,No
Loamy,10,13,29,7.1,Lily,No
Sandy,8,12,26,7.9,Cactus,No
Loamy,8,28,17,6.3,Oak,No
Clay,4,22,29,7.8,Fern,No
Clay,10,20,20,7.7,Cactus,No
Clay,8,20,28,5.6,Cactus,No
Clay,4,22,21,6.8,Fern,No
Loamy,9,11,29,6.8,Lily,No
Sandy,6,24,17,6.6,Rose,No
Clay,7,20,19,6,Rose,No
Loamy,7,12,24,6.7,Rose,No
Clay,10,20,27,7.4,Rose,No
Loamy,10,28,30,5.8,Cactus,No
Loamy,10,5,18,6.5,Rose,No
Loamy,10,5,18,6.5,Rose,No
Loamy,10,23,16,7.6,Lily,No
Clay,10,20,20,7.7,Cactus,No
Loamy,5,7,16,6.2,Cactus,No
Clay,10,15,17,7.2,Fern,No
Sandy,4,18,23,5.8,Lily,No
Clay,10,20,27,7.4,Rose,No
Loamy,8,7,28,6.1,Lily,No
Loamy,4,24,30,7.9,Rose,No
Loamy,10,28,30,5.8,Cactus,No
Loamy,6,24,30,6.3,Lily,No
Loamy,8,8,22,7.2,Rose,No
Clay,4,22,21,6.8,Fern,No
Sandy,11,6,20,7.1,Rose,No
Loamy,8,7,28,6.1,Lily,No
Loamy,4,24,30,7.9,Rose,No
Sandy,11,28,26,7,Fern,No
Loamy,7,9,15,5.7,Rose,No
Loamy,8,28,17,6.3,Oak,No
Sandy,10,30,28,6.1,Fern,No
Sandy,12,10,17,6.6,Rose,No
Loamy,4,7,22,5.6,Lily,No
Loamy,8,28,17,6.3,Oak,No
Loamy,4,24,30,7.9,Rose,No
Loamy,10,5,18,6.5,Rose,No
Loamy,8,18,20,6.8,Lily,No
Sandy,5,20,20,7.6,Rose,No
Loamy,7,9,15,5.7,Rose,No
Clay,8,20,28,5.6,Cactus,No
Clay,5,6,23,5.6,Rose,No
Sandy,9,21,26,7.2,Oak,No
Loamy,10,23,16,7.6,Lily,No
Loamy,4,7,26,7.1,Fern,No
Sandy,6,10,21,6,Cactus,No
Sandy,6,25,25,7.5,Cactus,No
Sandy,9,21,26,7.2,Oak,No
Clay,12,20,18,7.3,Rose,No
Clay,10,29,20,5.7,Rose,No
Loamy,11,28,15,5.7,Lily,No
Sandy,4,18,23,5.8,Lily,No
Sandy,4,18,23,5.8,Lily,No
Clay,8,20,28,5.6,Cactus,No
Loamy,4,7,22,5.6,Lily,No
Loamy,8,18,20,6.8,Lily,No
Loamy,8,8,22,7.2,Rose,No
Clay,8,20,28,5.6,Cactus,No
Sandy,11,28,26,7,Fern,No
Loamy,10,28,30,5.8,Cactus,No
Loamy,11,28,15,5.7,Lily,No
Loamy,8,18,20,6.8,Lily,No
Loamy,8,28,17,6.3,Oak,No
Clay,5,6,23,5.6,Rose,No
Clay,10,13,27,6.9,Fern,No
Loamy,9,12,24,7.4,Lily,No
Loamy,7,20,28,7.9,Cactus,No
Loamy,8,7,28,6.1,Lily,No
Sandy,4,7,25,7.9,Oak,No
Loamy,10,28,30,5.8,Cactus,No
Sandy,11,6,20,7.1,Rose,No
Sandy,10,30,28,6.1,Fern,No
Sandy,5,20,24,7.9,Rose,No
Clay,6,11,27,6.6,Lily,No
Sandy,12,27,19,7.8,Oak,No
Loamy,7,9,15,5.7,Rose,No
Clay,10,13,27,6.9,Fern,No
Loamy,5,7,16,6.2,Cactus,No
Sandy,11,28,26,7,Fern,No
Loamy,9,12,24,7.4,Lily,No
Loamy,11,30,19,7.7,Fern,No
Sandy,6,10,21,6,Cactus,No
Loamy,12,5,30,5.7,Fern,No
Loamy,5,13,16,7.7,Cactus,No
Loamy,9,11,29,6.8,Lily,No
Loamy,9,12,24,7.4,Lily,No
Sandy,5,20,24,7.9,Rose,No
Clay,10,29,20,5.7,Rose,No
Loamy,10,13,29,7.1,Lily,No
Loamy,11,28,15,5.7,Lily,No
Sandy,5,20,20,7.6,Rose,No
Clay,4,22,21,6.8,Fern,No
Loamy,5,13,16,7.7,Cactus,No
Clay,10,20,27,7.4,Rose,No
Sandy,5,20,24,7.9,Rose,No
Loamy,4,24,30,7.9,Rose,No
Clay,6,11,27,6.6,Lily,No
Loamy,5,7,16,6.2,Cactus,No
Sandy,11,28,26,7,Fern,No
Sandy,10,30,28,6.1,Fern,No
Clay,7,20,19,6,Rose,No
Sandy,11,6,20,7.1,Rose,No
Loamy,4,24,30,7.9,Rose,No
Loamy,9,16,27,6.1,Fern,No
Loamy,7,12,24,6.7,Rose,No
Loamy,4,7,22,5.6,Lily,No
Loamy,8,8,22,7.2,Rose,No
Sandy,12,10,17,6.6,Rose,No
Loamy,10,13,29,7.1,Lily,No
Sandy,12,10,17,6.6,Rose,No
Loamy,4,24,30,7.9,Rose,No
Loamy,7,20,28,7.9,Cactus,No
Clay,8,20,28,5.6,Cactus,No
Clay,6,11,27,6.6,Lily,No
Loamy,4,24,30,7.9,Rose,No
Sandy,10,30,28,6.1,Fern,No
Sandy,10,30,28,6.1,Fern,No
Sandy,6,10,21,6,Cactus,No
Loamy,6,24,30,6.3,Lily,No
Loamy,4,7,22,5.6,Lily,No
Loamy,8,18,20,6.8,Lily,No
Loamy,12,5,30,5.7,Fern,No
Loamy,4,26,29,7,Cactus,No
Clay,10,20,20,7.7,Cactus,No
Loamy,9,11,29,6.8,Lily,No
Loamy,10,28,30,5.8,Cactus,No
Loamy,5,13,16,7.7,Cactus,No
Loamy,4,7,22,5.6,Lily,No
Clay,12,20,18,7.3,Rose,No
Loamy,11,30,19,7.7,Fern,No
Sandy,6,10,21,6,Cactus,No
Loamy,9,11,29,6.8,Lily,No
Loamy,9,12,24,7.4,Lily,No
Loamy,9,11,29,6.8,Lily,No
Clay,4,22,29,7.8,Fern,No
Loamy,7,20,28,7.9,Cactus,No
Sandy,11,28,26,7,Fern,No
Loamy,8,8,22,7.2,Rose,No
Clay,4,22,29,7.8,Fern,No
Sandy,8,12,26,7.9,Cactus,No
Clay,10,20,27,7.4,Rose,No
Clay,12,5,20,5.6,Cactus,No
Loamy,12,5,30,5.7,Fern,No
Sandy,11,8,29,7.5,Oak,No
Sandy,12,10,17,6.6,Rose,No
Sandy,4,7,25,7.9,Oak,No
Sandy,10,30,28,6.1,Fern,No
Sandy,11,8,29,7.5,Oak,No
Clay,10,20,27,7.4,Rose,No
Sandy,12,27,19,7.8,Oak,No
Loamy,6,24,30,6.3,Lily,No
Loamy,12,5,30,5.7,Fern,No
Loamy,7,9,15,5.7,Rose,No
Clay,10,20,20,7.7,Cactus,No
Sandy,11,6,20,7.1,Rose,No
Loamy,4,7,22,5.6,Lily,No
Clay,4,22,21,6.8,Fern,No
Loamy,11,30,19,7.7,Fern,No
Sandy,12,27,19,7.8,Oak,No
Sandy,4,7,25,7.9,Oak,No
Clay,10,13,27,6.9,Fern,No
Loamy,8,18,20,6.8,Lily,No
Clay,10,20,27,7.4,Rose,No
Loamy,10,28,30,5.8,Cactus,No
Sandy,9,21,26,7.2,Oak,No
Loamy,12,5,30,5.7,Fern,No
Loamy,9,12,24,7.4,Lily,No
Sandy,6,24,17,6.6,Rose,No
Loamy,4,7,22,5.6,Lily,No
Loamy,7,9,15,5.7,Rose,No
Sandy,11,28,26,7,Fern,No
Loamy,10,28,30,5.8,Cactus,No
Sandy,6,24,17,6.6,Rose,No
Loamy,8,7,28,6.1,Lily,No
Clay,7,20,19,6,Rose,No
Loamy,10,5,18,6.5,Rose,No
Loamy,10,23,16,7.6,Lily,No
Loamy,7,12,24,6.7,Rose,No
Sandy,11,28,26,7,Fern,No
Sandy,5,20,20,7.6,Rose,No
Loamy,12,5,30,5.7,Fern,No
Sandy,8,12,26,7.9,Cactus,No
Clay,6,11,27,6.6,Lily,No
Sandy,6,10,21,6,Cactus,No
Clay,6,11,27,6.6,Lily,No
Sandy,8,12,26,7.9,Cactus,No
Sandy,6,10,21,6,Cactus,No
Clay,7,20,19,6,Rose,No
Loamy,7,9,15,5.7,Rose,No
Loamy,9,16,27,6.1,Fern,No
Loamy,5,13,16,7.7,Cactus,No
Loamy,4,7,26,7.1,Fern,No
Loamy,8,7,28,6.1,Lily,No
Loamy,9,16,27,6.1,Fern,No
Clay,5,6,23,5.6,Rose,No
Clay,10,20,27,7.4,Rose,No
Sandy,5,20,24,7.9,Rose,No
Clay,10,20,20,7.7,Cactus,No
Clay,8,12,17,6,Fern,No
Sandy,8,12,26,7.9,Cactus,No
Clay,10,13,27,6.9,Fern,No
Sandy,10,30,28,6.1,Fern,No
Loamy,7,12,24,6.7,Rose,No
Loamy,10,23,16,7.6,Lily,No
Clay,8,12,17,6,Fern,No
Sandy,12,10,17,6.6,Rose,No
Loamy,4,7,22,5.6,Lily,No
Clay,6,11,27,6.6,Lily,No
Loamy,8,8,22,7.2,Rose,No
Sandy,6,10,21,6,Cactus,No
Sandy,6,24,17,6.6,Rose,No
Loamy,9,16,27,6.1,Fern,No
Loamy,10,28,30,5.8,Cactus,No
Loamy,7,12,24,6.7,Rose,No
Clay,4,22,29,7.8,Fern,No
Clay,6,11,27,6.6,Lily,No
Clay,6,11,27,6.6,Lily,No
Loamy,10,28,30,5.8,Cactus,No
Loamy,9,11,29,6.8,Lily,No
Sandy,4,7,25,7.9,Oak,No
Clay,10,13,27,6.9,Fern,No
Clay,7,20,19,6,Rose,No
Loamy,8,18,20,6.8,Lily,No
Loamy,4,7,26,7.1,Fern,No
Sandy,4,18,23,5.8,Lily,No
Sandy,11,28,26,7,Fern,No
Sandy,6,10,21,6,Cactus,No
Clay,12,20,18,7.3,Rose,No
Loamy,7,12,24,6.7,Rose,No
Loamy,7,12,24,6.7,Rose,No
Clay,5,6,23,5.6,Rose,No
Loamy,9,16,27,6.1,Fern,No
Sandy,4,7,25,7.9,Oak,No
Loamy,5,7,16,6.2,Cactus,No
Loamy,7,9,15,5.7,Rose,No
Clay,12,5,20,5.6,Cactus,No
Clay,10,13,27,6.9,Fern,No
Sandy,4,18,23,5.8,Lily,No
Sandy,11,28,26,7,Fern,No
Clay,8,20,28,5.6,Cactus,No
Clay,10,13,27,6.9,Fern,No
Loamy,4,26,29,7,Cactus,No
Clay,6,11,27,6.6,Lily,No
Sandy,12,27,19,7.8,Oak,No
Sandy,10,30,28,6.1,Fern,No
Sandy,4,18,23,5.8,Lily,No
Sandy,11,28,26,7,Fern,No
Sandy,12,27,19,7.8,Oak,No
Loamy,7,20,28,7.9,Cactus,No
Loamy,10,23,16,7.6,Lily,No
Loamy,11,30,19,7.7,Fern,No
Sandy,5,20,24,7.9,Rose,No
Sandy,6,25,25,7.5,Cactus,No
Clay,10,20,20,7.7,Cactus,No
Clay,5,6,23,5.6,Rose,No
Sandy,12,27,19,7.8,Oak,No
Clay,8,24,30,7.1,Cactus,Yes
Clay,6,26,20,5.7,Lily,Yes
Loamy,6,15,16,5.9,Oak,Yes
Loamy,11,21,23,5.5,Fern,Yes
Clay,7,14,26,5.6,Oak,Yes
Clay,12,10,20,6.4,Lily,Yes
Sandy,11,6,16,7.2,Fern,Yes
Loamy,10,8,25,8,Cactus,Yes
Sandy,11,21,24,6,Lily,Yes
Loamy,10,29,22,7.7,Cactus,Yes
Loamy,6,29,15,5.8,Cactus,Yes
Clay,7,14,26,5.6,Oak,Yes
Sandy,8,11,28,6.6,Lily,Yes
Clay,11,20,20,7.2,Oak,Yes
Clay,11,10,30,6.1,Lily,Yes
Sandy,6,5,19,6.2,Oak,Yes
Clay,12,10,20,6.4,Lily,Yes
Clay,4,22,30,7.6,Rose,Yes
Loamy,6,15,16,5.9,Oak,Yes
Sandy,4,24,25,5.9,Lily,Yes
Clay,6,26,20,5.7,Lily,Yes
Sandy,6,23,15,5.6,Oak,Yes
Clay,8,24,30,7.1,Cactus,Yes
Clay,11,10,30,6.1,Lily,Yes
Loamy,4,27,15,7.3,Lily,Yes
Loamy,11,21,23,5.5,Fern,Yes
Loamy,10,29,22,7.7,Cactus,Yes
Clay,8,24,30,7.1,Cactus,Yes
Clay,8,24,30,7.1,Cactus,Yes
Loamy,11,21,23,5.5,Fern,Yes
Clay,6,9,25,5.7,Cactus,Yes
Clay,6,24,19,5.9,Fern,Yes
Loamy,4,27,15,7.3,Lily,Yes
Sandy,4,13,17,6.8,Rose,Yes
Loamy,10,8,25,8,Cactus,Yes
Loamy,5,7,22,6.3,Cactus,Yes
Loamy,4,27,15,7.3,Lily,Yes
Sandy,8,11,28,6.6,Lily,Yes
Sandy,6,5,19,6.2,Oak,Yes
Clay,10,7,21,6.2,Lily,Yes
Sandy,9,28,21,7.6,Fern,Yes
Clay,4,24,17,5.5,Fern,Yes
Sandy,4,5,17,6.4,Lily,Yes
Loamy,4,15,28,6.5,Cactus,Yes
Loamy,4,27,15,7.3,Lily,Yes
Sandy,7,20,29,5.6,Oak,Yes
Loamy,6,29,15,5.8,Cactus,Yes
Clay,6,26,20,5.7,Lily,Yes
Loamy,12,29,30,5.8,Oak,Yes
Sandy,7,20,29,5.6,Oak,Yes
Clay,11,10,30,6.1,Lily,Yes
Sandy,8,11,28,6.6,Lily,Yes
Clay,9,8,24,7.1,Cactus,Yes
Clay,7,14,26,5.6,Oak,Yes
Clay,6,26,20,5.7,Lily,Yes
Sandy,6,5,19,6.2,Oak,Yes
Sandy,11,24,26,6.3,Rose,Yes
Sandy,9,28,21,7.6,Fern,Yes
Clay,10,22,30,7.9,Rose,Yes
Clay,7,7,26,6.5,Rose,Yes
Clay,6,29,30,5.5,Lily,Yes
Sandy,10,12,27,7.1,Cactus,Yes
Loamy,6,29,15,5.8,Cactus,Yes
Clay,7,7,26,6.5,Rose,Yes
Loamy,6,29,15,5.8,Cactus,Yes
Clay,11,20,20,7.2,Oak,Yes
Clay,11,10,30,6.1,Lily,Yes
Sandy,10,5,15,7.5,Oak,Yes
Loamy,12,5,19,7.8,Lily,Yes
Sandy,10,5,15,7.5,Oak,Yes
Clay,4,22,30,7.6,Rose,Yes
Loamy,4,24,17,7.1,Lily,Yes
Loamy,10,29,22,7.7,Cactus,Yes
Loamy,4,24,17,7.1,Lily,Yes
Clay,9,8,24,7.1,Cactus,Yes
Loamy,5,7,22,6.3,Cactus,Yes
Sandy,4,5,17,6.4,Lily,Yes
Sandy,11,24,26,6.3,Rose,Yes
Sandy,4,13,17,6.8,Rose,Yes
Clay,4,24,17,5.5,Fern,Yes
Loamy,4,27,15,7.3,Lily,Yes
Sandy,11,21,24,6,Lily,Yes
Sandy,4,5,15,6.9,Lily,Yes
Loamy,11,21,23,5.5,Fern,Yes
Sandy,11,24,26,6.3,Rose,Yes
Loamy,12,5,19,7.8,Lily,Yes
Loamy,12,29,30,5.8,Oak,Yes
Sandy,4,13,15,7.6,Rose,Yes
Loamy,4,15,28,6.5,Cactus,Yes
Sandy,7,20,29,5.6,Oak,Yes
Clay,10,22,30,7.9,Rose,Yes
Clay,10,7,21,6.2,Lily,Yes
Loamy,12,5,19,7.8,Lily,Yes
Clay,11,10,30,6.1,Lily,Yes
Clay,6,26,20,5.7,Lily,Yes
Loamy,10,9,28,6,Oak,Yes
Sandy,6,5,19,6.2,Oak,Yes
Clay,12,10,20,6.4,Lily,Yes
Sandy,11,21,24,6,Lily,Yes
Loamy,10,8,25,8,Cactus,Yes
Clay,12,23,15,6.6,Oak,Yes
Sandy,10,5,15,7.5,Oak,Yes
Sandy,9,26,21,6.4,Lily,Yes
Sandy,6,5,19,6.2,Oak,Yes
Sandy,10,5,15,7.5,Oak,Yes
Clay,6,29,30,5.5,Lily,Yes
Sandy,9,28,21,7.6,Fern,Yes
Loamy,6,15,16,5.9,Oak,Yes
